time,load,engPwr,batPwr,landPwr,powerDeficit,charge
110,1,415,-414,0.0,0.0,0.5622777777777771
110,1,415,-414,0.0,0.0,0.5680277777777771
110,1,415,-414,0.0,0.0,0.5737777777777772
110,1,415,-414,0.0,0.0,0.5795277777777772
110,1,415,-414,0.0,0.0,0.5852777777777772
110,1,415,-414,0.0,0.0,0.5910277777777773
110,1,415,-414,0.0,0.0,0.5967777777777773
110,1,415,-414,0.0,0.0,0.6025277777777773
110,1,415,-414,0.0,0.0,0.6082777777777774
110,1,415,-414,0.0,0.0,0.6140277777777774
110,1,415,-414,0.0,0.0,0.6197777777777774
110,1,415,-414,0.0,0.0,0.6255277777777775
110,0,415,-415,0.0,0.0,0.6312916666666664
110,0,415,-415,0.0,0.0,0.6370555555555553
110,0,415,-415,0.0,0.0,0.6428194444444442
110,0,415,-415,0.0,0.0,0.6485833333333331
110,0,415,-415,0.0,0.0,0.654347222222222
110,0,415,-415,0.0,0.0,0.6601111111111109
110,1,415,-414,0.0,0.0,0.6658611111111109
110,1,415,-414,0.0,0.0,0.6716111111111109
110,1,415,-414,0.0,0.0,0.677361111111111
110,0,415,-415,0.0,0.0,0.6831249999999999
110,1,415,-414,0.0,0.0,0.6888749999999999
110,0,415,-415,0.0,0.0,0.6946388888888888
110,1,415,-414,0.0,0.0,0.7003888888888888
110,1,415,-414,0.0,0.0,0.7061388888888889
110,1,415,-414,0.0,0.0,0.7118888888888889
110,0,415,-415,0.0,0.0,0.7176527777777778
110,1,415,-414,0.0,0.0,0.7234027777777778
110,1,415,-414,0.0,0.0,0.7291527777777779
110,1,415,-414,0.0,0.0,0.7349027777777779
110,1,415,-414,0.0,0.0,0.7406527777777779
110,1,415,-414,0.0,0.0,0.746402777777778
110,1,415,-414,0.0,0.0,0.752152777777778
110,1,415,-414,0.0,0.0,0.757902777777778
110,1,415,-414,0.0,0.0,0.7636527777777781
110,1,415,-414,0.0,0.0,0.7694027777777781
110,1,415,-414,0.0,0.0,0.7751527777777781
110,1,415,-414,0.0,0.0,0.7809027777777782
110,1,415,-414,0.0,0.0,0.7866527777777782
110,0,415,-415,0.0,0.0,0.7924166666666671
110,1,415,-414,0.0,0.0,0.7981666666666671
110,1,415,-414,0.0,0.0,0.8039166666666672
110,1,415,-414,0.0,0.0,0.8096666666666672
110,0,415,-415,0.0,0.0,0.8154305555555561
110,0,415,-415,0.0,0.0,0.821194444444445
110,0,415,-415,0.0,0.0,0.8269583333333339
110,0,415,-415,0.0,0.0,0.8327222222222228
110,0,415,-415,0.0,0.0,0.8384861111111117
